session_id,participant_id,condition,plan_id,event_position,emit_trial_number,cue_onset_ms,pre_cue_state,offline_lr_class_at_onset,offline_ud_class_at_onset,first_stable_direction,first_direction_rt_ms,max_up_score_after_cue,min_down_score_after_cue,eventual_up_detected,correct_response_onset_ms,correct_response_rt_ms,was_corrected,response_quality,cycle_quality,quality_reason
pinch_haptic_1back_20260814_104047,,dual,dual-1,3,15,45463515.0,neutral,neutral,neutral,up,1375.0,0.3249578109866803,-0.43058891733481364,True,45464890.0,1375.0,False,clean,complete,
pinch_haptic_1back_20260814_104606,,dual,dual-2,5,27,45768234.0,neutral,neutral,neutral,down,1906.0,0.21342944498375774,-0.3785031966053597,False,,,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue
pinch_haptic_1back_20260814_104938,,dual,dual-3,2,7,46010156.0,neutral,neutral,neutral,down,1781.0,0.1200957386087437,-0.261970786287076,False,,,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue
pinch_haptic_1back_20260814_104938,,dual,dual-3,6,34,46069453.0,neutral,neutral,neutral,down,1437.0,0.1531440566066385,-0.28503227774816736,False,,,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue
pinch_haptic_1back_20260814_105854,,dual,dual-5,4,22,46542171.0,right,right,neutral,right,,0.15624426082361684,-0.19626678604753894,,,,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue
pinch_haptic_1back_20260814_110249,,dual,dual-6,5,27,46762312.0,neutral,neutral,neutral,down,1297.0,0.18541589214860074,-0.25130301110267284,False,,,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue
pinch_haptic_1back_20260814_111545,,matrix-only,only-matrix-1,3,17,47518453.0,neutral,neutral,neutral,down,2156.0,0.15256755796849925,-0.27525733009629255,False,,,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue
pinch_haptic_1back_20260814_113122,,matrix-only,only-matrix-2,5,27,610859.0,neutral,neutral,neutral,up,1922.0,0.18179617855139452,-0.249037865378871,True,612781.0,1922.0,False,clean,complete,
pinch_haptic_1back_20260814_113447,,matrix-only,only-matrix-3,2,7,777078.0,neutral,neutral,neutral,up,1422.0,0.17591467571426167,-0.17004439730101006,True,778500.0,1422.0,False,clean,complete,
pinch_haptic_1back_20260814_113447,,matrix-only,only-matrix-3,6,34,835984.0,neutral,neutral,neutral,up,1422.0,0.16863223336249725,-0.17804340464979815,True,837406.0,1422.0,False,clean,complete,
pinch_haptic_1back_20260814_114109,,matrix-only,only-matrix-5,4,20,1177468.0,neutral,neutral,neutral,up,1360.0,0.18040304858793363,-0.20040963783190452,True,1178828.0,1360.0,False,clean,complete,
pinch_haptic_1back_20260814_114409,,matrix-only,only-matrix-6,5,27,1366312.0,neutral,neutral,neutral,up,1359.0,0.1803144131850571,-0.24971717426931583,True,1367671.0,1359.0,False,clean,complete,
