session_id,participant_id,condition,plan_id,event_name,event_position,emit_trial_number,cue_onset_ms,next_cue_onset_ms,response_source,analysis_axis,expected_excursion_direction,baseline_center,baseline_mad,excursion_threshold,pre_cue_value,value_at_onset,first_excursion_direction,first_excursion_onset_ms,first_excursion_rt_ms,first_excursion_peak_value,first_excursion_peak_delta,first_excursion_peak_ms,first_excursion_duration_ms,expected_excursion_detected,expected_excursion_onset_ms,expected_excursion_rt_ms,reversal_detected,reversal_direction,reversal_onset_ms,reversal_rt_ms,overshoot_peak_value,overshoot_peak_delta,overshoot_peak_ms,first_stable_direction,first_stable_rt_ms,stable_matches_first_excursion,response_quality,cycle_quality,quality_reason,detector_version
pinch_haptic_1back_20260814_104047,,dual,dual-1,slip,2,7,45446343.0,45463515.0,pinch,pinch_closure,pinch,0.4031573989431446,7.00482389113799e-05,0.08063147978862893,0.4036274382170104,0.40370318061779675,pinch,45447875.0,1532.0,0.884382982904952,0.48122558396180737,45448937.0,1609.0,True,45447875.0,1532.0,True,release,45449484.0,3141.0,0.29033019502670204,0.11282720391644258,45449937.0,pinch,1500.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_104047,,dual,dual-1,up,3,15,45463515.0,45475000.0,wrist,ud,up,0.07271852859952771,0.0001580362936554336,0.031980051542772246,0.07284201562517996,0.07284201562517996,up,45464843.0,1328.0,0.29647080735556935,0.22375227875604164,45465125.0,297.0,True,45464843.0,1328.0,True,down,45465140.0,1625.0,-0.43058891733481364,0.5033074459343414,45465500.0,up,1375.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_104047,,dual,dual-1,right,4,20,45475000.0,45491984.0,wrist,lr,right,-0.03371480014976605,0.0002512951758942873,0.044103660181283165,-0.033966808336165125,-0.03345004069761513,right,45476265.0,1265.0,-0.7320092136637881,0.6982944135140221,45476875.0,,True,45476265.0,1265.0,False,,,,,,,right,1421.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_104047,,dual,dual-1,left,5,27,45491984.0,45508406.0,wrist,lr,left,-0.10759257369633744,0.0004277491787465365,0.054751002653527704,-0.10612545474153284,-0.10688298871274461,left,45492890.0,906.0,0.23491790247262354,0.34251047616896096,45493265.0,,True,45492890.0,906.0,False,,,,,,,left,1047.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_104047,,dual,dual-1,left,6,35,45508406.0,45520687.0,wrist,lr,left,-0.10734746037847391,0.00017002109646614694,0.05480002531710041,-0.10682138267816763,-0.10641900947382181,left,45509593.0,1187.0,0.2772022154653527,0.3845496758438266,45509937.0,,True,45509593.0,1187.0,False,,,,,,,left,1297.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_104606,,dual,dual-2,down,2,6,45723031.0,45736750.0,wrist,ud,down,0.011039272869401028,0.00018296458367196566,0.05287769683043794,0.011179617605263842,0.011309050714920145,down,45724531.0,1500.0,-0.41142140646899233,0.4224606793383934,45724921.0,906.0,True,45724531.0,1500.0,True,up,45725437.0,2406.0,0.13807528323187632,0.12703601036247528,45725546.0,down,1609.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_104606,,dual,dual-2,right,3,13,45736750.0,45752250.0,wrist,lr,right,-0.033070714933182824,0.00041508496694761185,0.0652215901459152,-0.03364309316255948,-0.03358095795267332,right,45737718.0,968.0,-0.7495276462623257,0.7164569313291429,45738281.0,,True,45737718.0,968.0,False,,,,,,,right,1078.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_104606,,dual,dual-2,left,4,20,45752250.0,45768234.0,wrist,lr,left,-0.06558020085246634,0.0003034151961290865,0.05871969296205849,-0.06603557498280262,-0.06603557498280262,left,45753328.0,1078.0,0.269044782858086,0.3346249837105523,45753640.0,,True,45753328.0,1078.0,False,,,,,,,left,1203.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_104606,,dual,dual-2,up,5,27,45768234.0,45783640.0,wrist,ud,up,-0.021854368370259936,0.00014693821299960677,0.05665383787055836,-0.021431408113615113,-0.021370089695770676,up,45769984.0,1750.0,0.18021380470805723,0.20206817307831718,45770125.0,156.0,True,45769984.0,1750.0,True,down,45770140.0,1906.0,-0.3785031966053597,0.35664882823509975,45770468.0,down,1906.0,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue,pilot_v0.2
pinch_haptic_1back_20260814_104606,,dual,dual-2,down,6,34,45783640.0,45797843.0,wrist,ud,down,0.04337071484627435,0.0007803421484853523,0.04641140843506328,0.04412807968937266,0.04404240786774333,down,45784875.0,1235.0,-0.3787366704745979,0.4221073853208723,45785234.0,6328.0,True,45784875.0,1235.0,True,up,45791203.0,7563.0,0.11236958618418723,0.06899887133791288,45797593.0,down,1344.0,True,clean,complete,,pilot_v0.2
