session_id,participant_id,condition,plan_id,event_name,event_position,emit_trial_number,response_source,expected_response,cue_onset_ms,next_cue_onset_ms,response_onset_ms,response_rt_ms,first_response_onset_ms,first_response_rt_ms,correct_response_onset_ms,correct_response_rt_ms,first_response,first_response_correct,was_corrected,correction_time_ms,eventual_correct,response_end_ms,full_cycle_ms,response_quality,response_quality_reason,cycle_quality,cycle_quality_reason,trial_quality,quality_reason,detector_version,first_wrist_direction,correct_wrist_direction,neutral_return_ms,neutral_return_completion_ms,lr_score_at_onset,ud_score_at_onset,old_lr_class_at_onset,old_ud_class_at_onset,offline_lr_class_at_onset,offline_ud_class_at_onset,online_gate_passed,old_lr_neutral_lower,old_lr_neutral_upper,old_lr_zero_in_neutral_region,old_ud_neutral_lower,old_ud_neutral_upper,old_ud_zero_in_neutral_region,offline_neutral_centered_gate_passed,lr_neutral_centered_sanity_passed,ud_neutral_centered_sanity_passed,pre_existing_response_at_cue,baseline_closure,baseline_closure_mad,baseline_stability,pinch_onset_ms,pinch_rt_ms,pinch_detected,peak_closure,peak_closure_delta,peak_time_ms,release_onset_ms,release_completion_ms,release_drop,release_detected,return_to_precue_baseline_ms,return_to_precue_baseline_completion_ms,returned_to_precue_baseline
pinch_haptic_1back_20260814_104047,,dual,dual-1,contact,1,1,,,45432312.0,45446343.0,,,,,,,,,,,,,,not_scored,no_s_r_mapping_defined,not_scored,no_s_r_mapping_defined,not_scored,no_s_r_mapping_defined,pilot_v0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinch_haptic_1back_20260814_104047,,dual,dual-1,slip,2,7,pinch,pinch_then_release,45446343.0,45463515.0,45447843.0,1500.0,45447843.0,1500.0,45447843.0,1500.0,pinch,True,False,,True,45449375.0,3032.0,clean,,complete,,clean,,pilot_v0.2,,,,,,,,,,,,,,,,,,,,,,0.4031573989431446,7.00482389113799e-05,7.00482389113799e-05,45447843.0,1500.0,True,0.884382982904952,0.48122558396180737,45448937.0,45449218.0,45449375.0,0.43468558330397783,True,45449390.0,45449546.0,True
pinch_haptic_1back_20260814_104047,,dual,dual-1,up,3,15,wrist,up,45463515.0,45475000.0,45464890.0,1375.0,45464890.0,1375.0,45464890.0,1375.0,up,True,False,,True,45466203.0,2688.0,clean,,complete,,clean,,pilot_v0.2,up,up,45466046.0,45466203.0,-0.02736276628421703,0.07284201562517996,neutral,up,neutral,neutral,False,-0.18249470626175696,-0.012049379945569247,False,-0.08953980309439484,0.059148776632274594,True,True,True,True,,,,,,,,,,,,,,,,,
pinch_haptic_1back_20260814_104047,,dual,dual-1,right,4,20,wrist,right,45475000.0,45491984.0,45476421.0,1421.0,45476421.0,1421.0,45476421.0,1421.0,right,True,False,,True,45477609.0,2609.0,clean,,complete,,clean,,pilot_v0.2,right,right,45477453.0,45477609.0,-0.03345004069761513,0.043818512849247926,neutral,neutral,neutral,neutral,True,-0.18249470626175696,-0.012049379945569247,False,-0.08953980309439484,0.059148776632274594,True,True,True,True,,,,,,,,,,,,,,,,,
pinch_haptic_1back_20260814_104047,,dual,dual-1,left,5,27,wrist,left,45491984.0,45508406.0,45493031.0,1047.0,45493031.0,1047.0,45493031.0,1047.0,left,True,False,,True,45495593.0,3609.0,clean,,complete,,clean,,pilot_v0.2,left,left,45495437.0,45495593.0,-0.10688298871274461,0.11146320847737595,neutral,up,neutral,neutral,False,-0.18249470626175696,-0.012049379945569247,False,-0.08953980309439484,0.059148776632274594,True,True,True,True,,,,,,,,,,,,,,,,,
pinch_haptic_1back_20260814_104047,,dual,dual-1,left,6,35,wrist,left,45508406.0,45520687.0,45509703.0,1297.0,45509703.0,1297.0,45509703.0,1297.0,left,True,False,,True,45512015.0,3609.0,clean,,complete,,clean,,pilot_v0.2,left,left,45511859.0,45512015.0,-0.10641900947382181,0.06975165405240474,neutral,up,neutral,neutral,False,-0.18249470626175696,-0.012049379945569247,False,-0.08953980309439484,0.059148776632274594,True,True,True,True,,,,,,,,,,,,,,,,,
pinch_haptic_1back_20260814_104047,,dual,dual-1,release,7,40,,,45520687.0,,,,,,,,,,,,,,,not_scored,no_s_r_mapping_defined,not_scored,no_s_r_mapping_defined,not_scored,no_s_r_mapping_defined,pilot_v0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinch_haptic_1back_20260814_104606,,dual,dual-2,contact,1,1,,,45711390.0,45723031.0,,,,,,,,,,,,,,not_scored,no_s_r_mapping_defined,not_scored,no_s_r_mapping_defined,not_scored,no_s_r_mapping_defined,pilot_v0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinch_haptic_1back_20260814_104606,,dual,dual-2,down,2,6,wrist,down,45723031.0,45736750.0,45724640.0,1609.0,45724640.0,1609.0,45724640.0,1609.0,down,True,False,,True,45725484.0,2453.0,clean,,complete,,clean,,pilot_v0.2,down,down,45725328.0,45725484.0,0.056516003094751084,0.011309050714920145,neutral,neutral,neutral,neutral,True,-0.12812762996365706,0.06991611492128724,True,-0.10193059756242685,0.07223479686096586,True,True,True,True,,,,,,,,,,,,,,,,,
pinch_haptic_1back_20260814_104606,,dual,dual-2,right,3,13,wrist,right,45736750.0,45752250.0,45737828.0,1078.0,45737828.0,1078.0,45737828.0,1078.0,right,True,False,,True,45738750.0,2000.0,clean,,complete,,clean,,pilot_v0.2,right,right,45738593.0,45738750.0,-0.03358095795267332,0.07215460613902011,neutral,neutral,neutral,neutral,True,-0.12812762996365706,0.06991611492128724,True,-0.10193059756242685,0.07223479686096586,True,True,True,True,,,,,,,,,,,,,,,,,
