session_id,participant_id,condition,task_type,nback_enabled,plan_id,event_name,event_position,emit_trial_number,response_source,expected_response,cue_onset_ms,next_cue_onset_ms,response_onset_ms,response_rt_ms,first_response_onset_ms,first_response_rt_ms,correct_response_onset_ms,correct_response_rt_ms,first_response,first_response_correct,was_corrected,correction_time_ms,eventual_correct,response_sequence_complete,response_end_ms,full_cycle_ms,response_quality,response_quality_reason,cycle_quality,cycle_quality_reason,trial_quality,quality_reason,detector_version,first_wrist_direction,correct_wrist_direction,neutral_return_ms,neutral_return_completion_ms,lr_score_at_onset,ud_score_at_onset,old_lr_class_at_onset,old_ud_class_at_onset,offline_lr_class_at_onset,offline_ud_class_at_onset,online_gate_passed,old_lr_neutral_lower,old_lr_neutral_upper,old_lr_zero_in_neutral_region,old_ud_neutral_lower,old_ud_neutral_upper,old_ud_zero_in_neutral_region,offline_neutral_centered_gate_passed,lr_neutral_centered_sanity_passed,ud_neutral_centered_sanity_passed,pre_existing_response_at_cue,pinch_reference_quality_passed,pinch_reference_quality_reason,contact_reference_available,pre_cue_pinch_state,post_cue_target_state,baseline_pinch_distance,distance_to_open,distance_to_contact,distance_to_pinch,baseline_reference_position,entered_open_reference,entered_contact_reference,entered_pinch_reference,open_reference_onset_ms,contact_reference_onset_ms,pinch_reference_onset_ms,baseline_closure,baseline_closure_mad,baseline_stability,pinch_onset_ms,pinch_rt_ms,pinch_detected,peak_closure,peak_closure_delta,peak_time_ms,release_onset_ms,release_completion_ms,release_drop,release_detected,return_to_precue_baseline_ms,return_to_precue_baseline_completion_ms,returned_to_precue_baseline
12324076_exp2_001_01_motor_single_plan1_20260819_213717,12324076,motor-only,single,False,only-motor-0,contact,1,,pinch,open_to_contact,8589015.0,8600734.0,8590031.0,1016.0,8590031.0,1016.0,8590031.0,1016.0,closing,True,False,,True,True,8590734.0,1719.0,clean,,complete,,clean,,pilot_v0.3,,,,,,,,,,,,,,,,,,,,,,True,,True,open,contact,0.06536464195272076,0.008522558840109384,0.022127083418501926,0.03186175952523114,0.27806389282455296,False,True,,,8590578.0,,,,3.0251253845196835e-05,,,,,,,,,,,,,
12324076_exp2_001_01_motor_single_plan1_20260819_213717,12324076,motor-only,single,False,only-motor-0,slip,2,,pinch,pinch_then_release,8600734.0,8612500.0,8603562.0,2828.0,8603562.0,2828.0,8603562.0,2828.0,pinch,True,False,,True,True,8604265.0,3531.0,clean,,complete,,clean,,pilot_v0.3,,,,,,,,,,,,,,,,,,,,,,True,,True,contact,contact,0.05538894544462117,0.01849825534820898,0.01215138691040233,0.021886063017131543,0.6035390296606714,,True,,,8604109.0,8603562.0,0.459860808434859,7.117086077365609e-05,7.117086077365609e-05,8603562.0,2828.0,True,0.6841315813334208,0.2242707728985618,8604109.0,8604390.0,8604546.0,0.18659264415316906,True,8604562.0,8604718.0,True
12324076_exp2_001_01_motor_single_plan1_20260819_213717,12324076,motor-only,single,False,only-motor-0,left,3,,wrist,left,8612500.0,8623500.0,,,8614937.0,2437.0,,,right,False,False,,False,,,,contaminated,no_correct_wrist_action_before_next_cue,not_applicable,no_correct_wrist_action_before_next_cue,contaminated,no_correct_wrist_action_before_next_cue,pilot_v0.3,right,,,,0.053694297207586006,0.013630290779022027,neutral,neutral,neutral,neutral,True,-0.20709675542865416,0.20933457914161616,True,-0.28236554983923107,0.06962325758877752,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_01_motor_single_plan1_20260819_213717,12324076,motor-only,single,False,only-motor-0,right,4,,wrist,right,8623500.0,8636265.0,8625437.0,1937.0,8625437.0,1937.0,8625437.0,1937.0,right,True,False,,True,,8626437.0,2937.0,clean,,complete,,clean,,pilot_v0.3,right,right,8626281.0,8626437.0,0.0176658478983942,-0.07687118079927974,neutral,neutral,neutral,neutral,True,-0.20709675542865416,0.20933457914161616,True,-0.28236554983923107,0.06962325758877752,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_01_motor_single_plan1_20260819_213717,12324076,motor-only,single,False,only-motor-0,up,5,,wrist,up,8636265.0,8646578.0,,,8638140.0,1875.0,,,down,False,False,,False,,,,contaminated,no_correct_wrist_action_before_next_cue,not_applicable,no_correct_wrist_action_before_next_cue,contaminated,no_correct_wrist_action_before_next_cue,pilot_v0.3,down,,,,0.0931540339570375,-0.13081646233108404,neutral,neutral,neutral,neutral,True,-0.20709675542865416,0.20933457914161616,True,-0.28236554983923107,0.06962325758877752,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_01_motor_single_plan1_20260819_213717,12324076,motor-only,single,False,only-motor-0,down,6,,wrist,down,8646578.0,8662875.0,8647843.0,1265.0,8647843.0,1265.0,8647843.0,1265.0,down,True,False,,True,,8648812.0,2234.0,clean,,complete,,clean,,pilot_v0.3,down,down,8648656.0,8648812.0,0.05948448119813142,-0.164053153997449,neutral,neutral,neutral,neutral,True,-0.20709675542865416,0.20933457914161616,True,-0.28236554983923107,0.06962325758877752,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_01_motor_single_plan1_20260819_213717,12324076,motor-only,single,False,only-motor-0,release,7,,pinch,contact_to_open,8662875.0,,8664140.0,1265.0,8664140.0,1265.0,8664140.0,1265.0,opening,True,False,,True,True,8664453.0,1578.0,clean,,complete,,clean,,pilot_v0.3,,,,,,,,,,,,,,,,,,,,,,True,,True,contact,open,0.049893419055021676,0.023993781737808473,0.006655860520802838,0.01639053662753205,0.782840515245074,True,False,,8664296.0,,,,,3.091365177829153e-06,,,,,,,,,,,,,
12324076_exp2_001_02_motor_dual_plan1_20260819_214754,12324076,motor-only,dual,True,only-motor-1,contact,1,1,pinch,open_to_contact,9149093.0,9161343.0,9149937.0,844.0,9149937.0,844.0,9149937.0,844.0,closing,True,False,,True,True,9150343.0,1250.0,clean,,complete,,clean,,pilot_v0.3,,,,,,,,,,,,,,,,,,,,,,True,,True,open,contact,0.12311787123728218,0.020156119370673353,0.06656374689622857,0.11256986232914407,0.23242793420181126,False,True,,,9150187.0,,,,6.429737207498676e-05,,,,,,,,,,,,,
12324076_exp2_001_02_motor_dual_plan1_20260819_214754,12324076,motor-only,dual,True,only-motor-1,slip,2,7,pinch,pinch_then_release,9161343.0,9174406.0,9163453.0,2110.0,9163453.0,2110.0,9163453.0,2110.0,pinch,True,False,,True,True,9164156.0,2813.0,clean,,complete,,clean,,pilot_v0.3,,,,,,,,,,,,,,,,,,,,,,True,,True,contact,contact,0.06486180247803086,0.07841218812992468,0.008307678136977255,0.05431379356989274,0.9042009807601835,,True,,,9163984.0,9163453.0,0.5939762347667434,3.916977682816292e-05,3.916977682816292e-05,9163453.0,2110.0,True,0.7818847264264449,0.18790849165970147,9163984.0,9164468.0,9164625.0,0.15738307624336978,True,9164640.0,9164796.0,True
12324076_exp2_001_02_motor_dual_plan1_20260819_214754,12324076,motor-only,dual,True,only-motor-1,up,3,13,wrist,up,9174406.0,9189281.0,,,9177203.0,2797.0,,,down,False,False,,False,,,,contaminated,no_correct_wrist_action_before_next_cue,not_applicable,no_correct_wrist_action_before_next_cue,contaminated,no_correct_wrist_action_before_next_cue,pilot_v0.3,down,,,,0.0513866692165721,0.05777476386140416,neutral,neutral,neutral,neutral,True,-0.27727555582072416,0.17015192061001527,True,-0.25721032456612414,0.07395924254792877,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
