trial_num,stimulus,prev_stimulus,is_target,response,response_key,correct,rt,timestamp
1,6,N/A,False,N/A,N/A,True,,2026-04-09T01:16:51.046897
2,8,6,False,False,right,True,502,2026-04-09T01:16:53.853829
3,8,8,True,True,left,True,753,2026-04-09T01:16:56.380985
4,8,8,True,True,left,True,760,2026-04-09T01:16:59.063742
5,4,8,False,False,right,True,556,2026-04-09T01:17:01.720421
6,1,4,False,False,right,True,576,2026-04-09T01:17:04.458893
7,6,1,False,False,right,True,372,2026-04-09T01:17:07.239775
8,9,6,False,False,right,True,591,2026-04-09T01:17:10.076901
9,3,9,False,False,right,True,373,2026-04-09T01:17:12.933883
10,3,3,True,False,right,False,1489,2026-04-09T01:17:15.604193
11,3,3,True,True,left,True,669,2026-04-09T01:17:18.466131
12,8,3,False,False,right,True,368,2026-04-09T01:17:21.242084
13,8,8,True,True,left,True,572,2026-04-09T01:17:23.997114
14,2,8,False,False,right,True,568,2026-04-09T01:17:26.662045
15,6,2,False,False,right,True,814,2026-04-09T01:17:29.305703
16,2,6,False,True,left,False,1207,2026-04-09T01:17:31.975097
17,9,2,False,False,right,True,885,2026-04-09T01:17:34.783570
18,4,9,False,False,right,True,552,2026-04-09T01:17:37.762504
19,8,4,False,False,right,True,968,2026-04-09T01:17:40.496350
20,5,8,False,False,right,True,537,2026-04-09T01:17:43.306015
